id_cadeia;nucleo;qtd_municipios;qtd_sedes;tem_sede;utp_dominante;coesao_utp_perc;utps_envolvidas;diagnostico_geral
NUCLEO_224;Itaparica, Vera Cruz;2;1;Sim;360;100.0;360;Cadeia Coesa (100% interna)
NUCLEO_225;Itapetinga, Itororó;4;1;Sim;542;100.0;542;Cadeia Coesa (100% interna)
NUCLEO_226;Lauro de Freitas, Salvador;11;1;Sim;291;100.0;291;Cadeia Coesa (100% interna)
NUCLEO_227;Livramento de Nossa Senhora, Paramirim;13;2;Sim;627;69.2;362, 520, 627, 667;Cadeia Mista (Dominante: UTP 627)
NUCLEO_228;Mairi, Várzea da Roça;2;0;Não;708;100.0;708;Cadeia Coesa (100% interna)
NUCLEO_229;Maracás, Planaltino;15;2;Sim;181;53.3;181, 581, 93;Cadeia Mista (Dominante: UTP 181)
NUCLEO_23;Cachoeira do Arari, Muaná;2;0;Não;NOVA6;100.0;NOVA6;Cadeia Coesa (100% interna)
NUCLEO_230;Mucuri, Nova Viçosa;2;1;Sim;453;100.0;453;Cadeia Coesa (100% interna)
NUCLEO_231;Mundo Novo, Piritiba;2;0;Não;603;50.0;548, 603;Cadeia Crítica (Núcleo Cross-UTP: 603, 548)
NUCLEO_232;Paratinga, Sítio do Mato;2;0;Não;296;100.0;296;Cadeia Coesa (100% interna)
NUCLEO_233;Pilão Arcado, Remanso;2;1;Sim;664;100.0;664;Cadeia Coesa (100% interna)
NUCLEO_234;Porto Seguro, Santa Cruz Cabrália;3;1;Sim;268;66.7;106, 268;Cadeia Mista (Dominante: UTP 268)
NUCLEO_235;Queimadas, Santaluz;5;1;Sim;594;80.0;594, 752;Cadeia Crítica (Núcleo Cross-UTP: 594, 752)
NUCLEO_236;Santo Antônio de Jesus, Varzedo;14;1;Sim;93;100.0;93;Cadeia Coesa (100% interna)
NUCLEO_237;Serra Dourada, Tabocas do Brejo Velho;3;0;Não;296;66.7;296, 533;Cadeia Mista (Dominante: UTP 296)
NUCLEO_238;Serrolândia, Várzea do Poço;2;0;Não;548;100.0;548;Cadeia Coesa (100% interna)
NUCLEO_239;Tapiramutá, Utinga;3;1;Sim;749;100.0;749;Cadeia Coesa (100% interna)
NUCLEO_24;Cametá, Limoeiro do Ajuru;2;1;Sim;64;100.0;64;Cadeia Coesa (100% interna)
NUCLEO_240;Abre Campo, Matipó;4;0;Não;214;100.0;214;Cadeia Coesa (100% interna)
NUCLEO_241;Águas Vermelhas, Divisa Alegre;2;0;Não;634;100.0;634;Cadeia Coesa (100% interna)
NUCLEO_242;Aimorés, Baixo Guandu;3;0;Não;92;100.0;92;Cadeia Coesa (100% interna)
NUCLEO_243;Além Paraíba, Sapucaia;4;0;Não;8;75.0;345, 8;Cadeia Crítica (Núcleo Cross-UTP: 8, 345)
NUCLEO_244;Alvorada de Minas, Serro;6;1;Sim;721;83.3;479, 721;Cadeia Mista (Dominante: UTP 721)
NUCLEO_245;Cachoeira de Pajeú, Pedra Azul;2;1;Sim;634;100.0;634;Cadeia Coesa (100% interna)
NUCLEO_246;Andrelândia, São Vicente de Minas;2;0;Não;83;50.0;309, 83;Cadeia Crítica (Núcleo Cross-UTP: 83, 309)
NUCLEO_247;Araguari, Uberlândia;21;4;Sim;351;42.9;21, 261, 29, 351, 352;Cadeia Crítica (Núcleo Cross-UTP: 21, 352)
NUCLEO_248;Araújos, Perdigão;2;0;Não;227;50.0;102, 227;Cadeia Crítica (Núcleo Cross-UTP: 227, 102)
NUCLEO_249;Astolfo Dutra, Dona Euzébia;2;0;Não;189;50.0;189, 8;Cadeia Crítica (Núcleo Cross-UTP: 189, 8)
NUCLEO_25;Capanema, Primavera;5;0;Não;52;60.0;52, 761, 80;Cadeia Mista (Dominante: UTP 52)
NUCLEO_250;Bambuí, Medeiros;4;0;Não;645;75.0;227, 645;Cadeia Mista (Dominante: UTP 645)
NUCLEO_251;Barão de Cocais, Santa Bárbara;2;0;Não;42;100.0;42;Cadeia Coesa (100% interna)
NUCLEO_252;Belo Horizonte, Contagem;27;1;Sim;42;96.3;169, 42;Cadeia Mista (Dominante: UTP 42)
NUCLEO_253;Belo Vale, Moeda;2;0;Não;42;100.0;42;Cadeia Coesa (100% interna)
NUCLEO_254;Bocaiúva, Engenheiro Navarro;16;1;Sim;218;100.0;218;Cadeia Coesa (100% interna)
NUCLEO_255;Bom Jesus do Galho, Pingo-d'Água;3;0;Não;157;100.0;157;Cadeia Coesa (100% interna)
NUCLEO_256;Buenópolis, Joaquim Felício;3;0;Não;101;100.0;101;Cadeia Coesa (100% interna)
NUCLEO_257;Buritizeiro, Pirapora;5;1;Sim;257;100.0;257;Cadeia Coesa (100% interna)
NUCLEO_258;Cabeceira Grande, Unaí;2;1;Sim;744;100.0;744;Cadeia Coesa (100% interna)
NUCLEO_259;Caldas, Poços de Caldas;8;1;Sim;262;100.0;262;Cadeia Coesa (100% interna)
NUCLEO_26;Castanhal, Santa Izabel do Pará;2;0;Não;41;100.0;41;Cadeia Coesa (100% interna)
NUCLEO_260;Cantagalo, Peçanha;2;0;Não;521;50.0;521, 684;Cadeia Crítica (Núcleo Cross-UTP: 521, 684)
NUCLEO_261;Carmo de Minas, São Lourenço;8;2;Sim;313;62.5;313, 83;Cadeia Mista (Dominante: UTP 313)
NUCLEO_262;Cataguases, Santana de Cataguases;3;0;Não;8;66.7;221, 8;Cadeia Crítica (Núcleo Cross-UTP: 8, 221)
NUCLEO_263;Centralina, Itumbiara;8;1;Sim;171;87.5;171, 422;Cadeia Mista (Dominante: UTP 171)
NUCLEO_264;Conceição do Mato Dentro, Dom Joaquim;2;1;Sim;479;100.0;479;Cadeia Coesa (100% interna)
NUCLEO_265;Congonhas, Conselheiro Lafaiete;13;0;Não;94;69.2;309, 35, 94;Cadeia Mista (Dominante: UTP 94)
NUCLEO_266;Coroaci, Virgolândia;2;0;Não;118;100.0;118;Cadeia Coesa (100% interna)
NUCLEO_267;Coronel Fabriciano, Ipatinga;13;1;Sim;157;100.0;157;Cadeia Coesa (100% interna)
NUCLEO_268;Cristália, Grão Mogol;2;0;Não;676;100.0;676;Cadeia Coesa (100% interna)
NUCLEO_269;Datas, Gouveia;5;1;Sim;104;80.0;104, 721;Cadeia Crítica (Núcleo Cross-UTP: 721, 104)
NUCLEO_27;Colares, Vigia;3;0;Não;80;100.0;80;Cadeia Coesa (100% interna)
NUCLEO_270;Descoberto, São João Nepomuceno;4;1;Sim;44;100.0;44;Cadeia Coesa (100% interna)
NUCLEO_271;Dionísio, São José do Goiabal;2;0;Não;157;100.0;157;Cadeia Coesa (100% interna)
NUCLEO_272;Durandé, Martins Soares;2;0;Não;214;100.0;214;Cadeia Coesa (100% interna)
NUCLEO_273;Elói Mendes, Varginha;13;1;Sim;358;69.2;358, 438, 83;Cadeia Mista (Dominante: UTP 358)
NUCLEO_274;Espera Feliz, Dores do Rio Preto;6;0;Não;221;50.0;214, 221, 49, 58;Cadeia Crítica (Núcleo Cross-UTP: 221, 58)
NUCLEO_275;Eugenópolis, Muriaé;13;2;Sim;221;76.9;221, 8;Cadeia Mista (Dominante: UTP 221)
NUCLEO_276;Fruta de Leite, Novorizonte;2;0;Não;676;50.0;669, 676;Cadeia Crítica (Núcleo Cross-UTP: 676, 669)
NUCLEO_277;Frutal, Itapagipe;3;1;Sim;261;100.0;261;Cadeia Coesa (100% interna)
NUCLEO_278;Guanhães, Sabinópolis;6;1;Sim;521;100.0;521;Cadeia Coesa (100% interna)
NUCLEO_279;Ijaci, Lavras;12;1;Sim;195;100.0;195;Cadeia Coesa (100% interna)
NUCLEO_28;Curionópolis, Parauapebas;4;1;Sim;237;100.0;237;Cadeia Coesa (100% interna)
NUCLEO_280;Inconfidentes, Ouro Fino;3;0;Não;270;66.7;270, 5;Cadeia Crítica (Núcleo Cross-UTP: 270, 5)
NUCLEO_281;Indaiabira, São João do Paraíso;3;0;Não;669;100.0;669;Cadeia Coesa (100% interna)
NUCLEO_282;Itabirinha, Mendes Pimentel;3;0;Não;118;100.0;118;Cadeia Coesa (100% interna)
NUCLEO_283;Itacarambi, Jaíba;4;0;Não;552;50.0;176, 552;Cadeia Crítica (Núcleo Cross-UTP: 552, 176)
NUCLEO_284;Itajubá, Maria da Fé;8;1;Sim;161;100.0;161;Cadeia Coesa (100% interna)
