cd_mun;nm_mun;sede_utp;rm_origem;utp_origem;hierarquia;id_cadeia;status_cadeia;cd_destino_principal;nm_destino_principal;rm_destino_principal;utp_destino_principal;tempo_viagem_h;sugestao_analise
2906824;Canudos;False;N/A;506;secundaria;NUCLEO_211;Interna;2910701;Euclides da Cunha;N/A;506;1.687355948;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2906857;Capela do Alto Alegre;False;N/A;708;secundaria;NUCLEO_206;Mista;2929370;São José do Jacuípe;N/A;708;1.084232803;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2906899;Caraíbas;False;N/A;362;secundaria;NUCLEO_196;Mista;2933307;Vitória da Conquista;N/A;362;1.282088691;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2906907;Caravelas;False;N/A;334;secundaria;NUCLEO_192;Mista;2931350;Teixeira de Freitas;N/A;334;1.28143077;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2907103;Carinhanha;False;N/A;455;secundaria;NUCLEO_215;Mista;2911709;Guanambi;N/A;520;1.63230711;Desvio de Fluxo: Município pertence a uma UTP, mas seu vínculo principal é com um polo externo.
2907202;Casa Nova;False;Recorte Metropolitano do Polo Petrolina/PE e Juazeiro/BA;253;secundaria;NUCLEO_164;Interna;2918407;Juazeiro;Recorte Metropolitano do Polo Petrolina/PE e Juazeiro/BA;253;1.803505963;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2907301;Castro Alves;False;N/A;93;secundaria;NUCLEO_236;Interna;2933174;Varzedo;N/A;93;0.861230731;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2908002;Coaraci;False;N/A;126;secundaria;NUCLEO_221;Interna;2914802;Itabuna;N/A;126;0.826966082;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2908606;Conde;False;N/A;7;secundaria;NUCLEO_210;Interna;2910602;Esplanada;N/A;7;0.857985459;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2908804;Contendas do Sincorá;False;N/A;581;secundaria;NUCLEO_229;Mista;2920502;Maracás;N/A;581;1.285469825;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2909604;Crisópolis;False;N/A;7;secundaria;NUCLEO_191;Interna;2901908;Aporá;N/A;7;0.429215714;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2909703;Cristópolis;False;N/A;38;secundaria;NUCLEO_197;Mista;2903201;Barreiras;N/A;38;1.066895911;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2909901;Curaçá;False;Recorte Metropolitano do Polo Petrolina/PE e Juazeiro/BA;253;secundaria;NUCLEO_164;Interna;2918407;Juazeiro;Recorte Metropolitano do Polo Petrolina/PE e Juazeiro/BA;253;1.417981704;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2910107;Dom Basílio;False;N/A;627;secundaria;NUCLEO_227;Mista;2919504;Livramento de Nossa Senhora;N/A;627;0.336033366;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2910206;Dom Macedo Costa;False;N/A;93;secundaria;NUCLEO_236;Interna;2928703;Santo Antônio de Jesus;N/A;93;0.419023253;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2910305;Elísio Medrado;False;N/A;93;secundaria;NUCLEO_236;Interna;2933174;Varzedo;N/A;93;0.326279559;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2910404;Encruzilhada;False;N/A;362;secundaria;NUCLEO_196;Mista;2933307;Vitória da Conquista;N/A;362;1.49290488;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2910909;Firmino Alves;False;N/A;126;secundaria;NUCLEO_221;Interna;2913606;Ilhéus;N/A;126;1.742564779;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2911006;Floresta Azul;False;N/A;126;secundaria;NUCLEO_221;Interna;2913606;Ilhéus;N/A;126;1.169253297;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2911808;Guaratinga;False;N/A;106;secundaria;NUCLEO_212;Mista;2914653;Itabela;N/A;106;0.437568489;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2912103;Ibicaraí;False;N/A;126;secundaria;NUCLEO_221;Interna;2914802;Itabuna;N/A;126;0.632097322;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
